start_date,end_date,symbol,name,holding_days,period_return,contribution_to_total_return,max_drawdown_during_holding
2016-05-27,2016-05-30,NDX,纳指ETF国泰,2,0.005477098726370144,0.014888017136480247,-0.07167867231552316
2016-05-31,2016-05-31,511880,银华日利ETF,1,5.959570982061457e-05,0.00016288214160997683,-0.0716233483470583
2016-06-01,2016-06-10,NDX,纳指ETF国泰,8,-0.01389076626773078,-0.03796737389050353,-0.08451921142358776
2016-06-13,2016-06-13,511880,银华日利ETF,1,0.0,0.0,-0.08451921142358776
2016-06-14,2016-06-27,980080.CN,国证成长100指数,10,0.07662853203960407,0.2065379617254708,-0.0854548177170168
2016-06-28,2016-07-14,159934,黄金ETF易方达,13,0.015980724101498867,0.04637369694339366,-0.02328434659014722
2016-07-15,2016-07-22,980080.CN,国证成长100指数,6,-0.004872835339388759,-0.014366218592642976,-0.029499383319668282
2016-07-25,2016-08-18,NDX,纳指ETF国泰,19,0.030563280472143406,0.08966837153326779,-0.028072800239661078
2016-08-19,2016-08-26,980081.CNI,国证价值100指数,6,-0.020313399662689302,-0.06141813055677625,-0.024055863609579897
2016-08-29,2016-08-29,399439.SZ,国证石油天然气指数,1,0.0020255324659592677,0.005999849499040089,-0.022079057076358488
2016-08-30,2016-08-30,980080.CN,国证成长100指数,1,0.0010929024635089046,0.0032438543108903595,-0.021010284868720253
2016-08-31,2016-09-05,511880,银华日利ETF,4,0.0004021687057942369,0.0011949853794646081,-0.020934137013003062
2016-09-06,2016-09-12,399439.SZ,国证石油天然气指数,5,-0.012585187373352569,-0.03741007928661855,-0.03294228987123593
2016-09-13,2016-09-13,980081.CNI,国证价值100指数,1,-0.0028305146402812786,-0.00830795214462432,-0.03567956087775226
2016-09-14,2016-09-21,511880,银华日利ETF,6,0.00044152191375834704,0.0012922597700031346,-0.03537640677134868
2016-09-22,2016-10-06,NDX,纳指ETF国泰,11,0.004155529229976862,0.012167899400917559,-0.04252456492268997
2016-10-07,2016-10-07,511880,银华日利ETF,1,0.0,0.0,-0.03124476120627173
2016-10-10,2016-10-11,NDX,纳指ETF国泰,2,-0.008759709587087716,-0.02575609160928405,-0.03973077575907458
2016-10-12,2016-10-14,511880,银华日利ETF,3,0.00033230175820220254,0.000968504935851211,-0.03966560166180588
2016-10-17,2016-10-25,980080.CN,国证成长100指数,7,0.012505972613065852,0.0364612006261642,-0.04570077509617321
2016-10-26,2016-12-08,980081.CNI,国证价值100指数,32,0.057363061354509526,0.1693337033497504,-0.05111826683299425
2016-12-09,2016-12-31,399439.SZ,国证石油天然气指数,17,0.03145432765396361,0.0981783268637364,-0.051427883500949734
2017-01-03,2017-01-03,511880,银华日利ETF,1,2.0161926568507127e-05,6.491084328263952e-05,-0.02852490078804304
2017-01-04,2017-01-17,399439.SZ,国证石油天然气指数,10,0.013541762223568066,0.043598260560778535,-0.034226486475945506
2017-01-18,2017-01-25,159934,黄金ETF易方达,6,-0.015026385212318805,-0.049033189605363514,-0.043127641331761946
2017-01-26,2017-02-20,NDX,纳指ETF国泰,18,0.0336311758146246,0.10809417100270746,-0.04946679029785328
2017-02-21,2017-02-22,980081.CNI,国证价值100指数,2,0.005281558509910855,0.017546395688782024,-0.012087902170327847
2017-02-23,2017-03-29,980080.CN,国证成长100指数,25,0.025809543957153736,0.08619734121370248,-0.01521023259635601
2017-03-30,2017-04-03,980081.CNI,国证价值100指数,3,-0.0017779196458026503,-0.006091053350917974,-0.02290638955432711
2017-04-04,2017-04-05,NDX,纳指ETF国泰,2,-0.0025175803541841457,-0.00860975488707183,-0.01943598906850008
2017-04-06,2017-04-17,980081.CNI,国证价值100指数,8,0.004114205381543945,0.01403455557839095,-0.018492495865657377
2017-04-18,2017-04-25,159934,黄金ETF易方达,6,-0.012512388503468808,-0.042858407370126805,-0.027721423194923545
2017-04-26,2017-04-28,980081.CNI,国证价值100指数,3,-0.010133362048905803,-0.03427528095806931,-0.037573874026084364
2017-05-01,2017-05-17,NDX,纳指ETF国泰,13,-0.000533748363490294,-0.001787066474640664,-0.03808756739580321
2017-05-18,2017-05-19,511880,银华日利ETF,2,0.0003950285312821489,0.0013219065341001368,-0.03799257168193482
2017-05-22,2017-06-02,NDX,纳指ETF国泰,9,0.04067866145491439,0.13617910135179434,-0.02956189098270312
2017-06-05,2017-06-28,980081.CNI,国证价值100指数,18,0.06487526152547374,0.22601620648117615,-0.032125105081056704
2017-06-29,2017-07-17,980080.CN,国证成长100指数,13,0.003949316633383715,0.01465146837489728,-0.04160647236626114
2017-07-18,2017-07-18,980081.CNI,国证价值100指数,1,0.0031048214647377836,0.011563987625632599,-0.038630831569998136
2017-07-19,2017-07-28,980080.CN,国证成长100指数,8,0.03995189811878963,0.14926387824676457,-0.00984420506064565
2017-07-31,2017-08-02,NDX,纳指ETF国泰,3,0.0008986583148640204,0.0034916053710261075,-0.0050596467476666795
2017-08-03,2017-08-11,980080.CN,国证成长100指数,7,-0.040983579770996204,-0.15937880007192762,-0.05266324868925909
2017-08-14,2017-08-15,159934,黄金ETF易方达,2,-0.0072668118602073895,-0.027101331128368322,-0.059547366629294385
2017-08-16,2017-08-17,NDX,纳指ETF国泰,2,-0.018858377075458455,-0.06982059773511606,-0.07728277701100705
2017-08-18,2017-09-05,159934,黄金ETF易方达,13,0.014881464144340217,0.054057581243193376,-0.07838766709745304
2017-09-06,2017-09-21,980080.CN,国证成长100指数,12,-0.0013340766905112211,-0.004918209949830388,-0.06480068799920213
