signal_date,label,symbol,name,kind,score_25,annualized_return_25,r_squared_25,return_10d,qualified,rejection_reason
2014-02-11,国证价值100指数,980081.CNI,国证价值100指数,index,0.0565824572434303,0.37308070877942656,0.15166277942525053,0.052015874162693265,True,
2014-02-11,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.17282605094239253,-0.39821847178256864,0.43399807690678227,0.04004393245639082,False,score_25_not_positive
2014-02-11,纳指ETF国泰,513100,纳指ETF国泰,etf,-0.00012828731292743284,-0.02765899340177569,0.004638177212884287,0.0,False,score_25_not_positive
2014-02-11,黄金ETF易方达,159934,黄金ETF易方达,etf,0.1871694265994072,0.3380148270415251,0.553731409469838,0.022007231232694435,True,
2014-02-12,国证成长100指数,980080.CN,国证成长100指数,index,1.8172896447913496,2.3791676639014927,0.7638342065440046,0.07389380820933522,True,
2014-02-12,国证价值100指数,980081.CNI,国证价值100指数,index,0.23619679353974404,0.6429271966567673,0.36737720035483257,0.024906627131606074,True,
2014-02-12,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.04109453386419016,-0.25731411420616734,0.15970571218360785,0.033283789727126534,False,score_25_not_positive
2014-02-12,纳指ETF国泰,513100,纳指ETF国泰,etf,5.7173850846269664e-05,0.02189880343160877,0.00261082077040542,-0.0008396305625525402,False,return_10d_not_positive
2014-02-12,黄金ETF易方达,159934,黄金ETF易方达,etf,0.18909588858009374,0.3282806066411217,0.5760190664775227,0.03234916120435538,True,
2014-02-13,国证成长100指数,980080.CN,国证成长100指数,index,2.2040333201172433,2.683716669184923,0.8212615532125583,0.04723385697849114,True,
2014-02-13,国证价值100指数,980081.CNI,国证价值100指数,index,0.5304242450265578,0.8913407339226331,0.5950858351241892,0.02019610596176369,True,
2014-02-13,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.0047467911434025825,-0.12483405486830057,0.03802480940325481,0.031185036548955658,False,score_25_not_positive
2014-02-13,纳指ETF国泰,513100,纳指ETF国泰,etf,0.004868058163096071,0.10428468844289696,0.04668046897183442,0.010951979780960297,True,
2014-02-13,黄金ETF易方达,159934,黄金ETF易方达,etf,0.22203151904418816,0.3651603659983944,0.608038384552294,0.03506056649803968,True,
2014-02-14,国证成长100指数,980080.CN,国证成长100指数,index,2.72187142288912,3.104576767260988,0.8767286580226812,0.052129843620030814,True,
2014-02-14,国证价值100指数,980081.CNI,国证价值100指数,index,0.8964007364933954,1.166992668109227,0.7681288503258145,0.022321930297841464,True,
2014-02-14,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,0.0001644052007073373,0.04345305001208799,0.003783513485511425,0.04025392193014432,True,
2014-02-14,纳指ETF国泰,513100,纳指ETF国泰,etf,0.018110714236107984,0.17230765723041874,0.10510684508866253,0.03267411865864145,True,
2014-02-14,黄金ETF易方达,159934,黄金ETF易方达,etf,0.3022675348317986,0.47951403259112646,0.6303622298568622,0.03844398371194613,True,
2014-02-17,国证成长100指数,980080.CN,国证成长100指数,index,3.138472734710447,3.5106663040486117,0.8939820714634884,0.07705190556487818,True,
2014-02-17,国证价值100指数,980081.CNI,国证价值100指数,index,1.127311951879127,1.3682655927610399,0.8238984871382393,0.04067468303507926,True,
2014-02-17,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,0.022053020673686818,0.2522480712919677,0.08742592385636627,0.05845305546359847,True,
2014-02-17,纳指ETF国泰,513100,纳指ETF国泰,etf,,,,,False,no_signal_date_close
2014-02-17,黄金ETF易方达,159934,黄金ETF易方达,etf,0.4388586661455006,0.6558454330342973,0.669149534388159,0.04727354164106745,True,
2014-02-18,国证成长100指数,980080.CN,国证成长100指数,index,3.378918218882288,3.7081219519050377,0.9112208990716656,0.06721966729447115,True,
2014-02-18,国证价值100指数,980081.CNI,国证价值100指数,index,1.286026216862058,1.490173292492865,0.8630044729299264,0.03624168572629749,True,
2014-02-18,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,0.08598696144537238,0.4127273940233782,0.20833839161279855,0.04548588206243376,True,
2014-02-18,纳指ETF国泰,513100,纳指ETF国泰,etf,0.03835479700551629,0.23554725115650532,0.16283270900933633,0.04596704249783179,True,
