signal_date,rank,label,symbol,name,score_25,annualized_return_25,r_squared_25,return_10d,is_selected
2014-02-07,3,国证价值100指数,980081.CNI,国证价值100指数,7.834965194608797e-06,0.00855097033561214,0.000916266211564154,0.04268240427411096,False
2014-02-10,1,国证成长100指数,980080.CN,国证成长100指数,1.008095124256001,1.5777128299333674,0.6389598316815213,0.12760511446307277,True
2014-02-10,2,黄金ETF易方达,159934,黄金ETF易方达,0.1725409285335,0.31989305461157724,0.5393706616825547,0.013408310089544573,False
2014-02-10,3,国证价值100指数,980081.CNI,国证价值100指数,0.008012002112616674,0.18367072286565156,0.04362155267650991,0.060108062775999116,False
2014-02-11,1,国证成长100指数,980080.CN,国证成长100指数,1.366843262162514,1.9546314029670198,0.6992844073249429,0.1028958853531563,True
2014-02-11,2,黄金ETF易方达,159934,黄金ETF易方达,0.1871694265994072,0.3380148270415251,0.553731409469838,0.022007231232694435,False
2014-02-11,3,国证价值100指数,980081.CNI,国证价值100指数,0.0565824572434303,0.37308070877942656,0.15166277942525053,0.052015874162693265,False
2014-02-12,1,国证成长100指数,980080.CN,国证成长100指数,1.8172896447913496,2.3791676639014927,0.7638342065440046,0.07389380820933522,True
2014-02-12,2,国证价值100指数,980081.CNI,国证价值100指数,0.23619679353974404,0.6429271966567673,0.36737720035483257,0.024906627131606074,False
2014-02-12,3,黄金ETF易方达,159934,黄金ETF易方达,0.18909588858009374,0.3282806066411217,0.5760190664775227,0.03234916120435538,False
2014-02-13,1,国证成长100指数,980080.CN,国证成长100指数,2.2040333201172433,2.683716669184923,0.8212615532125583,0.04723385697849114,True
2014-02-13,2,国证价值100指数,980081.CNI,国证价值100指数,0.5304242450265578,0.8913407339226331,0.5950858351241892,0.02019610596176369,False
2014-02-13,3,黄金ETF易方达,159934,黄金ETF易方达,0.22203151904418816,0.3651603659983944,0.608038384552294,0.03506056649803968,False
2014-02-13,4,纳指ETF国泰,NDX,纳指ETF国泰,2.1884841967875993e-06,0.006980609454756204,0.0003135090440128385,0.03599531300147252,False
2014-02-14,1,国证成长100指数,980080.CN,国证成长100指数,2.72187142288912,3.104576767260988,0.8767286580226812,0.052129843620030814,True
2014-02-14,2,国证价值100指数,980081.CNI,国证价值100指数,0.8964007364933954,1.166992668109227,0.7681288503258145,0.022321930297841464,False
2014-02-14,3,黄金ETF易方达,159934,黄金ETF易方达,0.3022675348317986,0.47951403259112646,0.6303622298568622,0.03844398371194613,False
